date,btc:open,btc:high,btc:low,btc:close,btc:volume,btc:macd,btc:macd_diff,btc:macd_signal,btc:rsi,btc:bb_bbm,btc:bb_bbh,btc:bb_bbl,btc:atr,btc
2019-03-19,4032.691895,4082.216064,4023.8125,4071.190186,9344919956,,,,,,,,0.0,4071.190186
2019-03-20,4070.793945,4089.461914,4031.11084,4087.476318,10175916388,,,,,,,,0.0,4087.476318
2019-03-21,4083.953857,4097.359863,4005.151367,4029.326904,10831212662,,,,,,,,0.0,4029.326904
2019-03-22,4028.514648,4053.906738,4021.54248,4023.968262,9252935969,,,,,,,,0.0,4023.968262
2019-03-23,4022.713379,4049.882568,4015.9646,4035.826416,9578850549,,,,,,,,0.0,4035.826416
2019-03-24,4035.163574,4040.699707,4006.192871,4022.168213,9144851065,,,,,,,,0.0,4022.168213
2019-03-25,4024.112793,4038.84082,3934.03125,3963.070557,10359818883,,,,,,,,0.0,3963.070557
2019-03-26,3969.22876,3985.080811,3944.753174,3985.080811,10707678815,,,,,,,,0.0,3985.080811
2019-03-27,3984.244873,4087.066162,3977.810547,4087.066162,10897131934,,,,,,,,0.0,4087.066162
2019-03-28,4087.584473,4094.9021,4040.266357,4069.107178,9353915899,,,,,,,,0.0,4069.107178
2019-03-29,4068.299805,4113.500977,4034.097168,4098.374512,10918665557,,,,,,,,0.0,4098.374512
2019-03-30,4092.13623,4296.806641,4053.909668,4106.660156,9732688060,,,,,,,,0.0,4106.660156
2019-03-31,4105.456055,4113.023438,4094.10083,4105.404297,9045122443,,,,,,,,0.0,4105.404297
2019-04-01,4105.362305,4164.953125,4096.901367,4158.183105,10157794171,,,,67.86669404000381,,,,73.43256492857144,4158.183105
2019-04-02,4156.919434,4905.95459,4155.316895,4879.87793,21315047816,,,,91.80231080469194,,,,121.8043599336735,4879.87793
2019-04-03,4879.958008,5307.003418,4876.621094,4973.021973,22899891582,,,,92.57140907412962,,,,143.84564308126826,4973.021973
2019-04-04,4971.307617,5063.159668,4836.793945,4922.798828,18251810240,,,,87.78881965368126,,,,149.7399345040348,4922.798828
2019-04-05,4922.806152,5053.509766,4919.491699,5036.681152,16837325387,,,,89.15680261351355,,,,148.6169439680323,5036.681152
2019-04-06,5036.792969,5205.821777,4992.222168,5059.817383,16929795194,,,,89.41621168617435,,,,153.2585628988871,5059.817383
2019-04-07,5062.793945,5235.186523,5050.412109,5198.896973,16655416140,,,,90.83556061391168,4345.699865799999,5229.405647882805,3461.9940837171935,155.5096951203952,5198.896973
2019-04-08,5199.835449,5318.836426,5148.211914,5289.770996,17154113634,,,,91.6257895631412,4406.6289063,5370.615142869912,3442.6426697300885,156.5893248975098,5289.770996
2019-04-09,5289.917969,5289.917969,5167.418945,5204.958496,14722104361,,,,84.31821539119589,4462.503015200001,5474.370670552786,3450.635359847216,154.1543034048305,5204.958496
2019-04-10,5204.105469,5421.651367,5193.382324,5324.551758,15504590933,,,,86.01229389243542,4527.2642579,5584.712779604339,3469.815736195662,159.44821337591404,5324.551758
2019-04-11,5325.081543,5354.225586,5017.296387,5064.487793,16555616019,,,,68.64586317207463,4579.29023445,5634.956384587456,3523.6240843125433,172.12542663477728,5064.487793
2019-04-12,5061.200684,5103.274414,4955.852539,5089.539063,13675206312,,,,69.28910860542082,4631.9758668,5679.032744976177,3584.9189886238237,170.36088723229318,5089.539063
2019-04-13,5088.850098,5127.12207,5061.589355,5096.586426,10823289598,286.0973461671465,,,69.47880755985028,4685.69677745,5712.139119030468,3659.254435869532,162.87316064427225,5096.586426
2019-04-14,5095.758789,5184.016113,5053.568359,5167.722168,10391952498,279.4975968012859,,,71.39922741322307,4745.929357999999,5736.436293907544,3755.4224220924552,160.55706016968136,5167.722168
2019-04-15,5167.321777,5196.606934,5024.069336,5067.108398,12290155061,263.11552551121076,,,65.15476425762269,4800.03073735,5735.043703005194,3865.017771694805,161.41281287184705,5067.108398
2019-04-16,5066.577637,5238.945313,5055.194824,5235.55957,11618660197,260.7198021755539,,,69.901053378259,4857.455407750001,5750.390036115494,3964.520779384508,163.0083611667151,5235.55957
2019-04-17,5236.135254,5274.275391,5219.205566,5251.937988,12438480677,257.17818558863655,,,70.32430081822392,4916.59694825,5747.35929587868,4085.8346006213205,155.2984657262355,5251.937988
2019-04-18,5251.480469,5319.986328,5250.506836,5298.385742,13256489918,255.17784316197958,,,71.54626850868695,4976.5975097499995,5732.256661938533,4220.938357561466,149.16853903150442,5298.385742
2019-04-19,5298.154297,5336.680176,5233.334961,5303.8125,13780238655,251.13551747542988,,,71.69292932985545,5036.45512695,5689.712156776543,4383.198097123456,145.89544445782556,5303.8125
