created_at,like_count,quote_count,reply_count,retweet_count,compound,comp_score
2020-06-23,8.6,0.0,3.0,1.8,0.05788,0.2
2020-06-24,47.8125,0.9375,7.125,104.6875,0.260975,0.875
2020-06-25,30.181818181818183,0.45454545454545453,8.5,6.409090909090909,0.14882727272727272,0.9090909090909091
2020-06-26,71.86666666666666,1.2666666666666666,20.933333333333334,10.0,0.11410666666666666,0.8666666666666667
2020-06-27,137.91666666666666,5.5,134.5,28.333333333333332,0.28231666666666666,0.8333333333333334
2020-06-28,66.2,3.9,22.2,14.2,0.27636000000000005,1.0
2020-06-29,37.733333333333334,1.0666666666666667,5.0,197.86666666666667,0.1539333333333333,0.7333333333333333
2020-06-30,65.55555555555556,0.4444444444444444,23.555555555555557,11.444444444444445,0.0814,0.5555555555555556
2020-07-01,84.78571428571429,3.7142857142857144,37.214285714285715,57.42857142857143,0.09113571428571429,0.7142857142857143
2020-07-02,53.0,2.2142857142857144,19.142857142857142,57.714285714285715,0.20513571428571428,0.8571428571428571
2020-07-03,96.3913043478261,3.347826086956522,35.391304347826086,71.95652173913044,0.04526521739130435,0.7391304347826086
2020-07-04,244.0,15.375,262.5,60.75,0.394125,1.0
2020-07-05,61.166666666666664,1.1666666666666667,22.0,13.5,0.23313333333333333,0.6666666666666666
2020-07-06,216.0,17.75,205.0,163.5,0.399225,1.0
2020-07-07,77.92307692307692,2.6923076923076925,18.846153846153847,65.07692307692308,0.35993846153846154,1.0
2020-07-08,54.27777777777778,1.5555555555555556,12.0,7.388888888888889,0.1911,0.6666666666666666
2020-07-09,130.35714285714286,4.357142857142857,57.57142857142857,39.07142857142857,0.2388857142857143,0.8571428571428571
2020-07-10,41.57142857142857,0.6428571428571429,12.142857142857142,7.357142857142857,0.1977,1.0
2020-07-11,94.16666666666667,3.6666666666666665,18.5,64.83333333333333,0.23634999999999998,1.0
2020-07-12,107.0,3.0,21.333333333333332,40.666666666666664,0.218,0.3333333333333333
2020-07-13,180.71428571428572,4.0,29.857142857142858,42.57142857142857,0.2635,1.0
2020-07-14,56.77777777777778,1.3333333333333333,5.555555555555555,194.55555555555554,0.29585555555555554,1.0
2020-07-15,64.86666666666666,2.466666666666667,10.733333333333333,23.333333333333332,0.21390666666666666,0.8666666666666667
2020-07-16,125.55555555555556,2.3333333333333335,31.77777777777778,22.77777777777778,0.22924444444444447,0.7777777777777778
2020-07-17,68.33333333333333,1.9333333333333333,48.266666666666666,13.0,0.08654,0.8666666666666667
2020-07-18,101.57142857142857,2.142857142857143,34.142857142857146,19.142857142857142,0.15017142857142857,0.7142857142857143
2020-07-19,90.46666666666667,2.2,24.8,25.4,0.19482,1.0
2020-07-20,635.5,122.16666666666667,230.5,1051.25,0.2608833333333333,1.0
2020-07-21,70.16666666666667,1.4166666666666667,7.916666666666667,21.416666666666668,0.23725,0.8333333333333334
2020-07-22,177.46153846153845,10.76923076923077,78.84615384615384,1054.4615384615386,0.2321692307692308,1.0
